Legacy Site Name,Description,Website Name,Corporate Name,Email Communication Sent,Analytics Tag,JIRA Ticket,Notes,
abqjournal,Albuquerque Journal,AbqJournal.com,Albuquerque Publishing Company,,,,,
acadiana,The Acadiana Advocate,theadvocate.com,Capital City Press,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-82180443-10""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-82180443-10');
</script>
",CS-34847,,
adelnews,Dallas County News,https://www.adelnews.com/,"Gatehouse Media, Inc.",,,,,
adn,Anchorage Daily News,www.adn.com,"Alaska Dispatch Publishing, LLC",,,,,
advocate-news,Fort Bragg Advocate-News,Advocate-News.com,DFM-Digital First Media Inc.,,,,,
aikenstandard,The Aiken Standard,AikenStandard.com,Evening Post Industries,,,,,
airdriecityview,Airdrie City View,AirdrieCityView.com,Glacier Media Inc.,,,,,
akronnewsreporter,Akron News-Reporter,AkronNewsReporter.com,DFM-Digital First Media Inc.,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-61435456-9""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-61435456-9', {send_page_view: false,
   'custom_map': {
	'dimension2': 'Publisher Domain',
	'dimension3': 'Publisher Product',
	'dimension12': 'Digital Publisher',
	'dimension14': 'Section',
	'dimension15': 'Taxonomy1',
	'dimension24': 'Page Type'
     
   }
});

gtag('event', 'page_view', {
	'Publisher Domain': 'akronnewsreporter.com',
	'Publisher Product': 'akronnewsreporter.com',
	'Digital Publisher': 'legacy.com',
	'Section': 'Obituaries',
	'Taxonomy1': 'Obituaries',
	'Page Type': 'Obits',
    send_to: 'UA-61435456-9'});
</script>",CS-34847,The paper would like to see a tag on a test site (just one DFM site) before we implement the tags to all of their sites.,
alamogordonews,Alamogordo Daily News,AlamogordoNews.com,"Gannett Co., Inc.",,,,,
alaskahighwaynews,Alaska Highway News/Dawson Creek Mirror,AlaskaHighwayNews.ca,Glacier Media Inc.,,,,,
alicetx,Alice Echo News-Journal,AliceTX.com,"Gatehouse Media, Inc.",,,,,
amarillo,Amarillo Globe-News,Amarillo.com,"Gatehouse Media, Inc.",,,,,
americanpress,American Press,americanpress.com,Shearman Corporation,,,,,
amestribune,Ames Tribune,AmesTribune.com,"Gatehouse Media, Inc.",,,,,
annarbor,Ann Arbor News,Mlive.com,"Advance Publications, Inc.",,,,,
annistonstar,The Anniston Star,AnnistonStar.com,Consolidated Publishing,,,,,
ansonrecord,The Anson Record,AnsonRecord.com,"Champion Media, LLC",,,,,
antigotimes,Antigo Times/Shopper,www.antigotimes.com,Multi Media Channels,,,,,
app,Asbury Park Press,APP.com,"Gannett Co., Inc.",,,,,
appealdemocrat,Appeal Democrat,Appeal-Democrat.com,Vista CA News Media Inc.,,,,,
argusleader,Argus Leader,ArgusLeader.com,"Gannett Co., Inc.",,,,,
assiniboiatimes,Assiniboia Times,AssiniboiaTimes.ca,Glacier Media Inc.,,,,,
athabascaadvocate,The Athabasca Advocate,AthabascaAdvocate.com,Great West,,,,,
athensmessenger,The Athens Messenger,AthensMessenger.com,"APG - Adams Publishing Company, LLC",,,,,
athensnews,The Athens NEWS,AthensNews.com,"APG - Adams Publishing Company, LLC",,,,,
atholdailynews,Athol Daily News,https://www.atholdailynews.com/,Newspapers of New England,,,,,
atlanta,Atlanta Journal-Constitution,AJC.com,Cox Enterprises,,,,,
atlanticnewstelegraph,Atlantic News Telegraph,AtlanticNewsTelegraph.com,"CMG - Community Media Group, Inc.",,,,,
au,Legacy.com Australia,Legacy.com,ÿ,,,,,
auburnjournal,Auburn Journal,AuburnJournal.com,"Brehm Communications, Inc.",,,,,
auburnpub,The Citizen,AuburnPub.com,"Lee Enterprises, Inc.",,,,,
auduboncountynews,Audubon County Advocate Journal,AudubonCountyNews.com,"CMG - Community Media Group, Inc.",,,,,
augustachronicle,The Augusta Chronicle,AugustaChronicle.com,"Gatehouse Media, Inc.",,,,,
aurora-beacon-news,Aurora Beacon News,ChicagoTribune.com,Tribune Publishing,x,"<!-- Google Tag Manager -->
<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':
new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0],
j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src=
'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f);
})(window,document,'script','dataLayer','GTM-KSNSZQ6');</script>
<!-- End Google Tag Manager -->
Additionally, paste this code immediately after the opening <body> tag:
<!-- Google Tag Manager (noscript) -->
<noscript><iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-KSNSZQ6""
height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe></noscript>
<!-- End Google Tag Manager (noscript) -->
",CS-34847,Client is requesting a comScore traffic assignment. Is this possible? Copy the code below and paste it onto every page of your website. Paste this code as high in the <head> of the page as possible,
avenuenews,The Avenue News,AvenueNews.com,"APG - Adams Publishing Company, LLC",,,,,
avpress,The Antelope Valley Press,avpress.com,Heritage Publications,,,,,
azcentral,The Arizona Republic,AZCentral.com,"Gannett Co., Inc.",,,,,
azdailysun,Arizona Daily Sun,https://azdailysun.com/,"Lee Enterprises, Inc.",,,,,
bakersfield,Bakersfield Californian,Bakersfield.com,Heritage Publications,,,,,
ballymenatimes-ie,Ballymena Times,BallyMenaTimes.com,Johnston Press plc,,,,,
ballymoneytimes-ie,Ballymoney Times,ballymoneytimes.co.uk,Johnston Press plc,,,,,
baltimoresun,Baltimore Sun,baltimoresun.com,Tribune Publishing,x,"<!-- Google Tag Manager -->
<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':
new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0],
j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src=
'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f);
})(window,document,'script','dataLayer','GTM-KSNSZQ6');</script>
<!-- End Google Tag Manager -->
Additionally, paste this code immediately after the opening <body> tag:
<!-- Google Tag Manager (noscript) -->
<noscript><iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-KSNSZQ6""
height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe></noscript>
<!-- End Google Tag Manager (noscript) -->
",CS-34847,Client is requesting a comScore traffic assignment. Is this possible? From the affiliate: Copy the code and paste it onto every page of your website. Paste this code as high in the <head> of the page as possible:,
banbridgeleader-ie,Banbridge Leader,banbridgeleader.co.uk,Johnston Press plc,,,"
Copy the code below and paste it onto every page of your website.
Paste this code as high in the <head> of the page as possible:
<!-- Google Tag Manager -->
<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':
new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0],
j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src=
'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f);
})(window,document,'script','dataLayer','GTM-KSNSZQ6');</script>
<!-- End Google Tag Manager -->
Additionally, paste this code immediately after the opening <body> tag:
<!-- Google Tag Manager (noscript) -->
<noscript><iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-KSNSZQ6""
height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe></noscript>
<!-- End Google Tag Manager (noscript) -->
",,
banburyguardian-uk,Banbury Guardian,banburyguardian.co.uk,Johnston Press plc,,,,,
barrheadleader,The Barrhead Leader,barrheadleader.com,Great West,,,,,
bastropenterprise,Bastrop Daily Enterprise,bastropenterprise.com,"Gatehouse Media, Inc.",,,,,
Batesville,Legacy Remembers,batesville.com,Non-Newspaper,,,,,
batleynews-uk,Batley News,batleynews.co.uk,Johnston Press plc,,,,,
battlecreek,Battle Creek Enquirer,BattleCreekEnquirer.com,"Gannett Co., Inc.",,,,,
baxterbulletin,Baxter Bulletin,BaxterBulletin.com,"Gannett Co., Inc.",,,,,
bay_area,The Bay Area Citizen,YourHoustonNews.com,Hearst Newspapers,,,,,
baycity,Bay City Times,Mlive.com,"Advance Publications, Inc.",,,,,
bayofplentytimes-nz,BayofPlentyTimes.co.nz,bayofplentytimes.co.nz,APN News & Media New Zealand,,,,,
bcrnews,Bureau County Republican,https://www.bcrnews.com/,Shaw Media,,,,,
beachesleader,The Beaches Leader,https://www.beachesleader.com/,Beaches Leader,,,,,
BeaconOnlineNews,The West Volusia Beacon,https://www.beacononlinenews.com/,West Volusia Beacon,,,,,
beatricedailysun,Beatrice Daily Sun,https://beatricedailysun.com/,"Lee Enterprises, Inc.",,,,,
beaumontenterprise,The Beaumont Enterprise,BeaumontEnterprise.com,Hearst Newspapers,,,,,
beavercreeknewscurrent,The Beaver Creek News-Courant,beavercreeknewscurrent.com,AIM Media Management of Dallas,,,,,
bedfordbulletin,Bedford Bulletin,bedfordbulletin.com,"Landmark Communications, Inc.",,,,,
bedfordtoday-uk,Bedford Today,bedfordtoday.co.uk,Johnston Press plc,,,,,
belleville,Belleville News-Democrat,Belleville.com,The McClatchy Company,,,,,
bellinghamherald,Bellingham Herald,bellinghamherald.com,The McClatchy Company,,,,,
beloitdailynews,Beloit Daily News,https://www.beloitdailynews.com/,"APG - Adams Publishing Company, LLC",,,,,
belpernews-uk,Belper News,belpernews.co.uk,Johnston Press plc,,,,,
bennington,Bennington Banner,BenningtonBanner.com,New England Newspapers,,,,,
bentoncourier,The Saline Courier,bentoncourier.com,Heritage Publications,,,,,
berkeleyind,The Berkeley Independent,https://www.berkeleyind.com/,Evening Post Industries,,,,,
berkhamstedtoday-uk,Berkhamsted Today,berkhamstedtoday.co.uk,Johnston Press plc,,,,,
berkshire,The Berkshire Eagle,berkshireeagle.com,New England Newspapers,,,,,
berwick-advertiser-uk,Berwick Advertiser,berwick-advertiser.co.uk,Johnston Press plc,,,,,
berwickshirenews-uk,Berwickshire News,berwickshirenews.co.uk,Johnston Press plc,,,,,
